1,-1.256842,1.069445,-0.4180544,0.005,17.99119,0,0,1
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,-0.6079867,0.8450019,-0.2855998,0.005,3.956787,0,0,0
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,-0.650277,0.8366581,-0.3086705,0.005,1.767656,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,-0.6518834,0.8665971,-0.2810947,0.005,2.489552,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,-0.665009,0.8302957,-0.3152558,0.005,2.56159,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,-0.6692432,0.8194203,-0.3176917,0.005,1.303347,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,-0.7380881,0.863153,-0.3424044,0.005,30.97059,0,0,16
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,-0.742992,0.8233919,-0.3536759,0.005,9.468269,0,0,1
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,-0.7420747,0.8207616,-0.3487011,0.005,4.091713,0,0,0
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,-0.7374446,0.8151389,-0.3453234,0.005,2.719254,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
2,1.699802,1.376072,1.69189,0.005,0,0,0,0
0,-0.9118145,0.9176974,-0.3890386,0.005,6.54907,0,0,0
0,1.699802,1.376072,1.69189,0.005,0,0,0,0
1,1.699802,1.376072,1.69189,0.005,0,0,0,0
