Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
137	1.24	3.12169	-391.000793	999.68219	59.121719	-384.733093	1003.667725	-20.560167	-366.742065	955.379333	33.041103	-360.735138	959.383118	30.303059	-294.000244	860.154541	249.840057	-456.317596	1172.251099	254.917221	-478.055969	1144.95752	221.545578	-408.249634	1189.884644	238.958923	-486.987122	1096.565186	207.470596	-415.213379	1142.501831
138	1.25	3.127688	-390.997955	999.682312	59.127808	-384.730164	1003.666138	-20.555084	-366.740356	955.379333	33.046257	-360.732941	959.38208	30.305761	-293.999054	860.152893	249.333176	-456.412933	1171.954712	254.469406	-478.105103	1144.635132	220.966507	-408.390961	1189.618164	238.582733	-486.989319	1096.211792	206.963425	-415.307709	1142.216431
139	1.26	3.133706	-390.995148	999.682495	59.133919	-384.727203	1003.66449	-20.549992	-366.738647	955.379333	33.051422	-360.730713	959.381042	30.308466	-293.997864	860.151184	248.820786	-456.500458	1171.665649	254.015976	-478.147705	1144.321655	220.383881	-408.522858	1189.356079	238.201782	-486.986267	1095.86731	206.452072	-415.395142	1141.935059
140	1.27	3.139746	-390.99234	999.682617	59.140053	-384.724243	1003.662903	-20.544893	-366.736908	955.379333	33.056602	-360.728485	959.379944	30.311171	-293.996674	860.149536	248.303146	-456.579987	1171.384277	253.557281	-478.183502	1144.017212	219.797836	-408.645172	1189.098755	237.816498	-486.977722	1095.532104	205.936707	-415.475494	1141.658081
141	1.28	3.145806	-390.989502	999.682739	59.14621	-384.721252	1003.661255	-20.539787	-366.735199	955.379333	33.061794	-360.726257	959.378906	30.313879	-293.995483	860.147827	247.780533	-456.651306	1171.11084	253.093689	-478.212311	1143.721924	219.208496	-408.757874	1188.846558	237.427261	-486.96347	1095.206177	205.417496	-415.548676	1141.38562
142	1.29	3.151888	-390.986694	999.6828	59.15239	-384.718262	1003.659607	-20.534672	-366.733521	955.379272	33.066998	-360.72406	959.377808	30.316589	-293.994293	860.146118	247.25322	-456.714203	1170.845337	252.625519	-478.233887	1143.436279	218.615982	-408.86084	1188.599487	237.034485	-486.943237	1094.889771	204.894653	-415.614624	1141.11792
143	1.3	3.15799	-390.983887	999.682922	59.158588	-384.71524	1003.657959	-20.529551	-366.731812	955.379272	33.072216	-360.721832	959.37677	30.319302	-293.993103	860.144409	246.721497	-456.768524	1170.588135	252.153168	-478.248016	1143.160034	218.020386	-408.954041	1188.357788	236.63855	-486.91684	1094.58313	204.368301	-415.673187	1140.855103
144	1.31	3.164113	-390.981049	999.682983	59.164814	-384.712189	1003.656311	-20.524424	-366.730133	955.379272	33.077446	-360.719635	959.375671	30.322018	-293.991913	860.1427	246.185593	-456.814117	1170.339233	251.676941	-478.254486	1142.893555	217.421814	-409.037445	1188.121826	236.239883	-486.884003	1094.286133	203.838654	-415.724365	1140.597412
145	1.32	3.170255	-390.978241	999.683044	59.171059	-384.709137	1003.654602	-20.519287	-366.728455	955.379211	33.082687	-360.717438	959.374512	30.324734	-293.990723	860.140991	245.645782	-456.850861	1170.098755	251.197205	-478.253143	1142.636963	216.820313	-409.111084	1187.891724	235.838852	-486.844543	1093.999023	203.305832	-415.768066	1140.344971
146	1.33	3.176419	-390.975433	999.683105	59.177326	-384.706085	1003.652954	-20.514145	-366.726776	955.379211	33.08794	-360.71521	959.373413	30.327452	-293.989563	860.139282	245.10231	-456.878601	1169.867065	250.714279	-478.243774	1142.390381	216.215958	-409.174896	1187.667725	235.435867	-486.798248	1093.721924	202.769989	-415.80423	1140.0979
147	1.34	3.182602	-390.972626	999.683105	59.183613	-384.703003	1003.651245	-20.508995	-366.725098	955.37915	33.093204	-360.713013	959.372314	30.330172	-293.988373	860.137512	244.555405	-456.897217	1169.644043	250.228485	-478.226257	1142.153687	215.608765	-409.229004	1187.449951	235.031265	-486.744904	1093.454834	202.231293	-415.832886	1139.856445
148	1.35	3.188806	-390.969818	999.683167	59.189922	-384.699921	1003.649536	-20.503839	-366.72345	955.37915	33.098484	-360.710846	959.371155	30.332893	-293.987183	860.135803	244.005295	-456.906677	1169.42981	249.740143	-478.200439	1141.927124	214.998779	-409.273407	1187.238525	234.625443	-486.684387	1093.197754	201.68985	-415.853943	1139.620728
149	1.36	3.195029	-390.96701	999.683167	59.196255	-384.696808	1003.647827	-20.498676	-366.721802	955.379089	33.103775	-360.708649	959.369995	30.335617	-293.986023	860.134094	243.452225	-456.90683	1169.224487	249.249557	-478.166168	1141.710693	214.386017	-409.308167	1187.033691	234.21875	-486.616455	1092.950806	201.145828	-415.867493	1139.390747
150	1.37	3.201272	-390.964233	999.683167	59.20261	-384.693695	1003.646118	-20.493507	-366.720154	955.379028	33.109074	-360.706482	959.368835	30.338341	-293.984833	860.132324	242.896362	-456.897675	1169.028198	248.757034	-478.123352	1141.504272	213.770447	-409.333435	1186.835571	233.811523	-486.541016	1092.713867	200.599319	-415.873505	1139.166626
151	1.38	3.207534	-390.961426	999.683167	59.208984	-384.690582	1003.644409	-20.488331	-366.718536	955.379028	33.114388	-360.704315	959.367676	30.341068	-293.983673	860.130615	242.337952	-456.87915	1168.84082	248.262848	-478.071869	1141.308105	213.152069	-409.349304	1186.644165	233.404114	-486.457886	1092.487061	200.050461	-415.872009	1138.948486
152	1.39	3.213815	-390.958649	999.683105	59.215378	-384.687439	1003.642639	-20.483149	-366.716919	955.378967	33.119713	-360.702148	959.366516	30.343796	-293.982513	860.128845	241.777161	-456.851288	1168.662598	247.767258	-478.011688	1141.12207	212.530884	-409.355896	1186.459717	232.996826	-486.366974	1092.270264	199.499359	-415.863068	1138.73645
153	1.4	3.220115	-390.955902	999.683044	59.221794	-384.684296	1003.64093	-20.477961	-366.715302	955.378906	33.12505	-360.699982	959.365295	30.346525	-293.981354	860.127075	241.214203	-456.814026	1168.493286	247.270554	-477.942657	1140.946045	211.906815	-409.353424	1186.282227	232.589966	-486.268127	1092.063477	198.946136	-415.84671	1138.530518
154	1.41	3.226434	-390.953125	999.682983	59.22823	-384.681152	1003.63916	-20.472767	-366.713715	955.378845	33.130394	-360.697845	959.364136	30.349257	-293.980194	860.125366	240.649216	-456.767395	1168.333008	246.77298	-477.864838	1140.780151	211.279877	-409.34201	1186.111816	232.183838	-486.161255	1091.866577	198.390884	-415.82309	1138.330811
155	1.42	3.232771	-390.950378	999.682922	59.234688	-384.678009	1003.63739	-20.467566	-366.712128	955.378784	33.13575	-360.695709	959.362915	30.351988	-293.979034	860.123596	240.082413	-456.711487	1168.181763	246.27478	-477.778107	1140.624146	210.649979	-409.321899	1185.948364	231.778717	-486.046326	1091.679565	197.833694	-415.792236	1138.137329
156	1.43	3.239127	-390.947632	999.682861	59.241165	-384.674866	1003.63562	-20.46236	-366.710571	955.378723	33.141121	-360.693604	959.361694	30.354721	-293.977905	860.121826	239.513931	-456.646332	1168.039551	245.776199	-477.682526	1140.478027	210.01712	-409.293274	1185.792114	231.374878	-485.923248	1091.502197	197.274673	-415.754272	1137.950073
157	1.44	3.245501	-390.944885	999.6828	59.247662	-384.671692	1003.63385	-20.45715	-366.709015	955.378662	33.146496	-360.691467	959.360474	30.357456	-293.976746	860.120056	238.943954	-456.571991	1167.906128	245.27742	-477.578064	1140.341675	209.381241	-409.256378	1185.643066	230.972565	-485.791992	1091.334595	196.713928	-415.709351	1137.769043
158	1.45	3.251892	-390.942169	999.682678	59.254177	-384.668549	1003.63208	-20.451933	-366.707458	955.378601	33.151886	-360.689392	959.359253	30.360191	-293.975616	860.118286	238.37262	-456.488586	1167.781494	244.778702	-477.464783	1140.214966	208.74231	-409.211456	1185.501099	230.572006	-485.652527	1091.176392	196.151535	-415.657562	1137.59436
159	1.46	3.258301	-390.939484	999.682556	59.260712	-384.665375	1003.630249	-20.446711	-366.705933	955.37854	33.157284	-360.687286	959.357971	30.362928	-293.974487	860.116577	237.80011	-456.39624	1167.665527	244.280228	-477.342743	1140.097778	208.100296	-409.158813	1185.366211	230.173447	-485.504883	1091.027588	195.587585	-415.599091	1137.425781
160	1.47	3.264727	-390.936798	999.682434	59.267269	-384.662231	1003.628418	-20.441483	-366.704437	955.378418	33.162693	-360.685211	959.35675	30.365665	-293.973389	860.114807	237.226547	-456.295074	1167.558228	243.782196	-477.212006	1139.98999	207.455154	-409.098694	1185.238525	229.777084	-485.34906	1090.887939	195.022186	-415.534058	1137.26355
161	1.48	3.271169	-390.934113	999.682251	59.273842	-384.659058	1003.626648	-20.436251	-366.702942	955.378357	33.16811	-360.683167	959.355469	30.368404	-293.97226	860.113037	236.652084	-456.185272	1167.459351	243.28479	-477.072632	1139.891235	206.806885	-409.031403	1185.117676	229.383102	-485.185089	1090.757202	194.455414	-415.462677	1137.107544
162	1.49	3.277629	-390.931458	999.682129	59.280434	-384.655914	1003.624817	-20.431015	-366.701447	955.378296	33.173538	-360.681122	959.354187	30.371143	-293.971161	860.111267	236.076874	-456.067017	1167.368774	242.788177	-476.924774	1139.801514	206.155472	-408.957245	1185.003906	228.991699	-485.013092	1090.635376	193.88736	-415.385132	1136.957642
163	1.5	3.284104	-390.928802	999.681946	59.287045	-384.652771	1003.622986	-20.425774	-366.699982	955.378174	33.17897	-360.679077	959.352966	30.373882	-293.970062	860.109497	235.501053	-455.94043	1167.286377	242.292542	-476.768524	1139.720581	205.5009	-408.876556	1184.896973	228.603012	-484.833069	1090.522095	193.31813	-415.301575	1136.813721
164	1.51	3.290596	-390.926178	999.681763	59.293671	-384.649597	1003.621155	-20.420528	-366.698547	955.378113	33.184418	-360.677094	959.351685	30.376623	-293.968964	860.107727	234.924759	-455.805817	1167.212036	241.798035	-476.604065	1139.648193	204.843185	-408.789673	1184.796753	228.217224	-484.645203	1090.417236	192.747803	-415.21228	1136.675903
165	1.52	3.297102	-390.923584	999.68158	59.300316	-384.646454	1003.619263	-20.415279	-366.697113	955.378052	33.189869	-360.675079	959.350342	30.379364	-293.967896	860.105957	234.348145	-455.66333	1167.145386	241.30481	-476.43158	1139.584106	204.182343	-408.696899	1184.703125	227.834457	-484.449585	1090.320557	192.176468	-415.117401	1136.543945
166	1.53	3.303625	-390.92099	999.681396	59.30698	-384.643341	1003.617432	-20.410027	-366.695709	955.37793	33.195332	-360.673096	959.34906	30.382105	-293.966827	860.104187	233.771347	-455.513275	1167.086304	240.813019	-476.251221	1139.528076	203.518402	-408.598602	1184.615967	227.454819	-484.246338	1090.231812	191.604248	-415.017181	1136.417969
167	1.54	3.310162	-390.918427	999.681152	59.31366	-384.640198	1003.61554	-20.40477	-366.694305	955.377869	33.200802	-360.671143	959.347778	30.384846	-293.965759	860.102417	233.194489	-455.355865	1167.034546	240.322784	-476.063202	1139.479858	202.851395	-408.495148	1184.535278	227.078445	-484.035675	1090.150757	191.031219	-414.911896	1136.297607
168	1.55	3.316713	-390.915863	999.680908	59.320354	-384.637085	1003.613647	-20.399509	-366.692932	955.377747	33.206276	-360.669189	959.346436	30.387587	-293.964691	860.100708	232.617722	-455.191376	1166.98999	239.834229	-475.867798	1139.439087	202.181412	-408.386871	1184.460571	226.705399	-483.81778	1090.077026	190.457504	-414.801758	1136.182861
169	1.56	3.323279	-390.913361	999.680664	59.327068	-384.633972	1003.611816	-20.394247	-366.691589	955.377625	33.211761	-360.667297	959.345154	30.390327	-293.963654	860.098938	232.041183	-455.020172	1166.952393	239.347504	-475.665192	1139.40564	201.508499	-408.2742	1184.391968	226.3358	-483.592834	1090.010498	189.883209	-414.687012	1136.073486
170	1.57	3.329858	-390.910858	999.68042	59.333794	-384.630859	1003.609924	-20.388981	-366.690277	955.377563	33.217251	-360.665375	959.343811	30.39307	-293.962616	860.097168	231.465012	-454.842468	1166.921387	238.862701	-475.455658	1139.37915	200.832748	-408.157501	1184.329224	225.969681	-483.361084	1089.950806	189.308426	-414.567932	1135.969604
171	1.58	3.336451	-390.908386	999.680176	59.340538	-384.627777	1003.608032	-20.383713	-366.688965	955.377441	33.222752	-360.663513	959.342468	30.395811	-293.961609	860.095398	230.889343	-454.658661	1166.896851	238.379944	-475.239502	1139.359375	200.154266	-408.037109	1184.271973	225.607132	-483.122803	1089.897705	188.733307	-414.444794	1135.870972
172	1.59	3.343056	-390.905914	999.679871	59.347294	-384.624695	1003.606079	-20.378441	-366.687683	955.377319	33.228256	-360.661652	959.341125	30.39855	-293.960571	860.093689	230.314331	-454.469055	1166.878296	237.899338	-475.017029	1139.345947	199.47319	-407.913452	1184.220215	225.248184	-482.878204	1089.850952	188.157928	-414.317841	1135.777222
173	1.6	3.349674	-390.903503	999.679626	59.354069	-384.621643	1003.604187	-20.373167	-366.686432	955.377258	33.233765	-360.659821	959.339783	30.401291	-293.959595	860.091919	229.740097	-454.274017	1166.865723	237.420959	-474.788544	1139.338501	198.789642	-407.786926	1184.173584	224.892853	-482.627655	1089.810181	187.582458	-414.187378	1135.688477
174	1.61	3.356305	-390.901093	999.679321	59.360851	-384.618622	1003.602295	-20.367893	-366.685181	955.377136	33.239285	-360.65799	959.33844	30.40403	-293.958588	860.09021	229.166794	-454.073914	1166.858643	236.944916	-474.554352	1139.336914	198.103775	-407.657867	1184.131836	224.541183	-482.371399	1089.775146	187.007004	-414.053711	1135.604492
175	1.62	3.362946	-390.898743	999.679016	59.367653	-384.615601	1003.600342	-20.362617	-366.68399	955.377014	33.244804	-360.656219	959.337097	30.406769	-293.957611	860.08844	228.594559	-453.86908	1166.856934	236.471283	-474.31485	1139.340698	197.415787	-407.526703	1184.094849	224.193176	-482.109802	1089.745483	186.431717	-413.917053	1135.525146
176	1.63	3.369599	-390.896393	999.67865	59.374466	-384.612579	1003.598389	-20.35734	-366.6828	955.376892	33.250332	-360.654449	959.335693	30.409506	-293.956665	860.086731	228.023529	-453.659973	1166.860229	236.000153	-474.070404	1139.349487	196.725845	-407.393829	1184.062378	223.848816	-481.843201	1089.720947	185.85672	-413.777771	1135.450073
177	1.64	3.376262	-390.894104	999.678345	59.38129	-384.609589	1003.596497	-20.35206	-366.681641	955.37677	33.255863	-360.65271	959.334351	30.412243	-293.955719	860.084961	227.453857	-453.446899	1166.868286	235.53157	-473.82135	1139.363159	196.034195	-407.259583	1184.034058	223.508102	-481.57196	1089.701294	185.282196	-413.636108	1135.379272
178	1.65	3.382936	-390.891815	999.677979	59.388126	-384.606628	1003.594543	-20.346781	-366.680481	955.376648	33.261402	-360.651001	959.333008	30.414978	-293.954773	860.083252	226.885696	-453.230347	1166.880737	235.065613	-473.568085	1139.381226	195.341019	-407.124329	1184.009766	223.171021	-481.296448	1089.686035	184.708267	-413.492401	1135.312622
179	1.66	3.38962	-390.889557	999.677612	59.394974	-384.603699	1003.59259	-20.341501	-366.679382	955.376526	33.266941	-360.649323	959.331604	30.417713	-293.953857	860.081543	226.319168	-453.010651	1166.897217	234.602356	-473.311035	1139.403442	194.646606	-406.988434	1183.989136	222.837494	-481.017059	1089.675171	184.135117	-413.346893	1135.249634
180	1.67	3.396312	-390.88736	999.677246	59.401836	-384.600769	1003.590637	-20.336222	-366.678314	955.376404	33.272488	-360.647675	959.3302	30.420446	-293.952942	860.079834	225.754425	-452.788269	1166.917603	234.14183	-473.050598	1139.429565	193.951187	-406.852295	1183.971924	222.507523	-480.734192	1089.668091	183.562897	-413.19989	1135.19043
181	1.68	3.403014	-390.885193	999.67688	59.408703	-384.59787	1003.588684	-20.330942	-366.677246	955.376282	33.278034	-360.646057	959.328857	30.423176	-293.952057	860.078125	225.191605	-452.563568	1166.941528	233.684097	-472.78717	1139.459106	193.255035	-406.716187	1183.957886	222.18103	-480.448273	1089.664795	182.991791	-413.051697	1135.134766
182	1.69	3.409723	-390.883057	999.676514	59.415585	-384.595032	1003.58667	-20.325665	-366.676239	955.37616	33.283585	-360.64447	959.327454	30.425905	-293.951172	860.076416	224.630859	-452.337006	1166.96875	233.229202	-472.52121	1139.491821	192.558456	-406.580444	1183.946899	221.857956	-480.159729	1089.664795	182.421967	-412.902588	1135.082275
183	1.7	3.41644	-390.880951	999.676086	59.422474	-384.592194	1003.584717	-20.320387	-366.675232	955.376038	33.289139	-360.642914	959.32605	30.428635	-293.950317	860.074707	224.072311	-452.108978	1166.998901	232.777176	-472.253113	1139.527344	191.86174	-406.445404	1183.938477	221.538239	-479.868988	1089.667969	181.853607	-412.752838	1135.032959
184	1.71	3.423165	-390.878876	999.675659	59.429371	-384.589386	1003.582703	-20.315109	-366.674286	955.375916	33.294693	-360.641357	959.324646	30.431358	-293.949463	860.073059	223.516129	-451.879944	1167.03186	232.328049	-471.983337	1139.565552	191.165207	-406.31131	1183.932495	221.221802	-479.576477	1089.673828	181.286911	-412.602753	1134.98645
185	1.72	3.429896	-390.876862	999.675232	59.436279	-384.586609	1003.58075	-20.309834	-366.67337	955.375793	33.300251	-360.639862	959.323242	30.434082	-293.948639	860.07135	222.962418	-451.650238	1167.067139	231.881866	-471.712311	1139.606079	190.469162	-406.178528	1183.928711	220.908569	-479.282623	1089.682373	180.722061	-412.452606	1134.942749
186	1.73	3.436633	-390.874847	999.674805	59.443192	-384.583862	1003.578735	-20.304562	-366.672455	955.375671	33.305809	-360.638397	959.321838	30.436804	-293.947815	860.069702	222.411346	-451.420319	1167.104614	231.438629	-471.440491	1139.648682	189.773941	-406.047241	1183.92688	220.598434	-478.987946	1089.693237	180.159256	-412.302673	1134.901489
187	1.74	3.443376	-390.872925	999.674377	59.450115	-384.581146	1003.576782	-20.29929	-366.6716	955.375549	33.311371	-360.636963	959.320435	30.439522	-293.947021	860.068054	221.863037	-451.190582	1167.143921	230.998383	-471.168274	1139.692993	189.07988	-405.917755	1183.926758	220.291336	-478.692841	1089.706055	179.598694	-412.153198	1134.862671
188	1.75	3.450123	-390.871002	999.673889	59.457043	-384.578461	1003.574768	-20.294022	-366.670746	955.375427	33.316929	-360.635559	959.319031	30.442238	-293.946259	860.066406	221.317627	-450.961426	1167.184937	230.561142	-470.896118	1139.73877	188.387314	-405.790314	1183.928101	219.987167	-478.397766	1089.720825	179.040558	-412.004456	1134.82605
189	1.76	3.456875	-390.869141	999.673401	59.463974	-384.575806	1003.572754	-20.288757	-366.669952	955.375305	33.322491	-360.634216	959.317627	30.44495	-293.945496	860.064758	220.775238	-450.733246	1167.227295	230.126938	-470.624451	1139.785889	187.696579	-405.66507	1183.930664	219.685837	-478.10318	1089.737183	178.485092	-411.85672	1134.79126
190	1.77	3.463631	-390.86734	999.672974	59.470913	-384.573212	1003.57074	-20.283495	-366.669189	955.375183	33.328049	-360.632874	959.316162	30.44766	-293.944763	860.06311	220.236023	-450.506439	1167.270874	229.69577	-470.353699	1139.833984	187.008057	-405.542328	1183.934326	219.387253	-477.809509	1089.755005	177.93248	-411.710205	1134.758423
191	1.78	3.47039	-390.86557	999.672485	59.477856	-384.570648	1003.568726	-20.278238	-366.668457	955.375	33.333611	-360.631592	959.314758	30.450367	-293.944031	860.061523	219.700104	-450.281372	1167.31543	229.267654	-470.08429	1139.882813	186.322067	-405.422211	1183.938721	219.091339	-477.517242	1089.773926	177.382935	-411.565155	1134.727173
192	1.79	3.477151	-390.863831	999.671936	59.484802	-384.568115	1003.566711	-20.272984	-366.667786	955.374878	33.339169	-360.630341	959.313354	30.45307	-293.943329	860.059875	219.167633	-450.058411	1167.360596	228.842636	-469.81662	1139.932373	185.638977	-405.304901	1183.943848	218.797989	-477.226776	1089.793945	176.83667	-411.421844	1134.697388
193	1.8	3.483914	-390.862152	999.671448	59.491753	-384.565613	1003.564697	-20.267735	-366.667114	955.374756	33.344723	-360.62915	959.311951	30.45577	-293.942657	860.058289	218.638733	-449.837891	1167.406372	228.420731	-469.551117	1139.982178	184.959137	-405.190613	1183.949341	218.507126	-476.938568	1089.814697	176.293915	-411.280457	1134.668945
194	1.81	3.490679	-390.860535	999.670898	59.498707	-384.563171	1003.562622	-20.262489	-366.666504	955.374634	33.350277	-360.62796	959.310486	30.458466	-293.941986	860.056702	218.113556	-449.620178	1167.452515	228.001968	-469.288177	1140.032227	184.282928	-405.079468	1183.9552	218.218689	-476.652985	1089.836182	175.754883	-411.141235	1134.641724
195	1.82	3.497444	-390.858948	999.67041	59.505661	-384.560791	1003.560608	-20.257252	-366.665924	955.374512	33.355831	-360.626831	959.309082	30.461159	-293.941345	860.055115	217.592224	-449.405609	1167.498779	227.58638	-469.028198	1140.082275	183.610703	-404.971619	1183.96106	217.932587	-476.370514	1089.858154	175.219803	-411.004395	1134.615479
196	1.83	3.504209	-390.857422	999.669861	59.512619	-384.558441	1003.558594	-20.252018	-366.665375	955.374329	33.361378	-360.625732	959.307678	30.463846	-293.940735	860.053589	217.074921	-449.194489	1167.544922	227.173996	-468.771515	1140.132202	182.942825	-404.867188	1183.966919	217.648773	-476.091522	1089.880493	174.688889	-410.870148	1134.590088
197	1.84	3.510974	-390.855927	999.669312	59.519573	-384.556122	1003.556519	-20.24679	-366.664856	955.374207	33.366924	-360.624695	959.306213	30.46653	-293.940125	860.052002	216.561768	-448.987152	1167.590942	226.764877	-468.518524	1140.181763	182.279663	-404.766266	1183.972534	217.367172	-475.816437	1089.902954	174.162384	-410.738647	1134.56543
198	1.85	3.517738	-390.854492	999.668701	59.526531	-384.553864	1003.554504	-20.24157	-366.664398	955.374084	33.372467	-360.623688	959.30481	30.46921	-293.939545	860.050476	216.052933	-448.783844	1167.636597	226.359085	-468.269623	1140.230835	181.621597	-404.669006	1183.977905	217.087738	-475.545563	1089.925415	173.640518	-410.610107	1134.541382
199	1.86	3.524499	-390.853119	999.668152	59.533485	-384.551636	1003.55249	-20.236355	-366.663971	955.373962	33.378002	-360.622742	959.303345	30.471884	-293.938995	860.04895	215.548569	-448.58493	1167.681641	225.956665	-468.025085	1140.279297	180.969009	-404.57547	1183.982666	216.810455	-475.279327	1089.947876	173.123535	-410.48468	1134.517822
200	1.87	3.531258	-390.851807	999.667542	59.54044	-384.5495	1003.550415	-20.23115	-366.663605	955.37384	33.383537	-360.621796	959.301941	30.474554	-293.938477	860.047485	215.048874	-448.390594	1167.726074	225.557693	-467.785278	1140.327026	180.322281	-404.485779	1183.986938	216.535294	-475.018066	1089.970093	172.611649	-410.362579	1134.494629
201	1.88	3.538014	-390.850555	999.666992	59.547394	-384.547363	1003.54834	-20.22595	-366.663269	955.373657	33.389061	-360.620941	959.300537	30.477219	-293.937958	860.045959	214.554001	-448.201111	1167.769653	225.162262	-467.550507	1140.373901	179.681793	-404.399933	1183.990356	216.262222	-474.762146	1089.991943	172.105118	-410.243927	1134.47168
202	1.89	3.544766	-390.849335	999.666382	59.55434	-384.545319	1003.546326	-20.22076	-366.662964	955.373535	33.394585	-360.620117	959.299072	30.479877	-293.937469	860.044495	214.064148	-448.016785	1167.812378	224.770447	-467.321075	1140.419678	179.047943	-404.318085	1183.993042	215.991257	-474.511841	1090.013428	171.604187	-410.128906	1134.44873
203	1.9	3.551513	-390.848206	999.665771	59.561287	-384.543335	1003.54425	-20.215578	-366.66272	955.373413	33.400097	-360.619324	959.297668	30.482533	-293.937012	860.04303	213.579498	-447.837769	1167.854004	224.382355	-467.097321	1140.464355	178.421127	-404.240234	1183.994873	215.722397	-474.267517	1090.034302	171.1091	-410.017609	1134.426025
204	1.91	3.558255	-390.847107	999.665161	59.568226	-384.541382	1003.542236	-20.210405	-366.662506	955.373291	33.405605	-360.618591	959.296204	30.48518	-293.936584	860.041565	213.10025	-447.664307	1167.894409	223.998093	-466.879456	1140.50769	177.801727	-404.166473	1183.995605	215.455658	-474.029419	1090.054443	170.620102	-409.910217	1134.403076
205	1.92	3.564991	-390.846069	999.66449	59.575161	-384.53949	1003.540161	-20.20524	-366.662323	955.373169	33.411106	-360.61792	959.2948	30.487823	-293.936157	860.040161	212.626617	-447.496582	1167.933472	223.617798	-466.667786	1140.549805	177.19017	-404.096832	1183.995239	215.191101	-473.797882	1090.073853	170.137421	-409.806824	1134.380127
206	1.93	3.57172	-390.845093	999.663879	59.582092	-384.537659	1003.538086	-20.200089	-366.662201	955.373047	33.416595	-360.617279	959.293396	30.490459	-293.935791	860.038696	212.158813	-447.334808	1167.971191	223.241592	-466.462555	1140.590454	176.586823	-404.031342	1183.993652	214.928757	-473.57312	1090.092407	169.661331	-409.707581	1134.356934
207	1.94	3.578442	-390.844177	999.663208	59.589012	-384.535889	1003.536072	-20.194944	-366.66214	955.372864	33.422081	-360.616699	959.291931	30.49309	-293.935425	860.037354	211.697037	-447.179169	1168.007324	222.869614	-466.263977	1140.629517	175.992111	-403.970032	1183.990845	214.668686	-473.355377	1090.110107	169.192078	-409.612549	1134.333252
208	1.95	3.585155	-390.843353	999.662537	59.595928	-384.53418	1003.533997	-20.189812	-366.662109	955.372742	33.427555	-360.61615	959.290527	30.495714	-293.935089	860.03595	211.241547	-447.029785	1168.041992	222.502045	-466.072266	1140.666992	175.406418	-403.912994	1183.986694	214.410965	-473.144928	1090.126587	168.729904	-409.521851	1134.309326
209	1.96	3.59186	-390.84256	999.661865	59.602833	-384.532532	1003.531921	-20.18469	-366.662109	955.37262	33.433022	-360.615662	959.289124	30.498331	-293.934784	860.034607	210.792572	-446.886841	1168.074829	222.139023	-465.887665	1140.702759	174.83017	-403.860168	1183.981201	214.15567	-472.941956	1090.14209	168.275055	-409.435577	1134.284912
210	1.97	3.598555	-390.841858	999.661194	59.60973	-384.530945	1003.529846	-20.179581	-366.66217	955.372498	33.438477	-360.615234	959.28772	30.500942	-293.934509	860.033264	210.350327	-446.750458	1168.105957	221.780731	-465.710358	1140.736694	174.263748	-403.811676	1183.974243	213.902924	-472.746674	1090.15625	167.827774	-409.35379	1134.26001
211	1.98	3.60524	-390.841187	999.660522	59.616619	-384.529419	1003.527832	-20.174484	-366.662292	955.372375	33.44392	-360.614868	959.286255	30.503546	-293.934265	860.031921	209.91507	-446.620789	1168.135132	221.427353	-465.540466	1140.768677	173.70755	-403.767487	1183.965942	213.652832	-472.559235	1090.169189	167.388321	-409.276581	1134.234497
212	1.99	3.611914	-390.840607	999.65979	59.623493	-384.527985	1003.525757	-20.169399	-366.662445	955.372253	33.449356	-360.614532	959.284851	30.506142	-293.934021	860.030579	209.487061	-446.497894	1168.162476	221.079086	-465.378204	1140.798828	173.161987	-403.727661	1183.956055	213.405487	-472.379822	1090.180664	166.95694	-409.20401	1134.208374
213	2	3.618576	-390.840088	999.659119	59.630356	-384.526581	1003.523682	-20.164328	-366.662659	955.372131	33.454777	-360.614258	959.283447	30.50873	-293.933838	860.029297	209.066528	-446.381958	1168.187744	220.73613	-465.223724	1140.826904	172.627411	-403.6922	1183.94458	213.161057	-472.208557	1090.190796	166.533844	-409.136139	1134.181641
214	2.01	3.625225	-390.83963	999.658386	59.637211	-384.525269	1003.521606	-20.159269	-366.662933	955.372009	33.460186	-360.614044	959.282043	30.511311	-293.933655	860.028015	208.653732	-446.27298	1168.210938	220.398666	-465.077118	1140.852905	172.104233	-403.661163	1183.931641	212.919662	-472.045593	1090.199219	166.119293	-409.073029	1134.154175
215	2.02	3.631861	-390.839264	999.657654	59.644047	-384.524048	1003.519592	-20.154226	-366.663239	955.371887	33.465584	-360.613892	959.28064	30.513884	-293.933533	860.026794	208.248932	-446.171112	1168.231934	220.06694	-464.938507	1140.876709	171.592819	-403.634552	1183.916992	212.681442	-471.891022	1090.206177	165.713501	-409.014679	1134.125977
