Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
15	0.02	2.550308	-391.211243	999.564636	58.540813	-384.808594	1003.7901	-21.122038	-366.908051	955.338623	32.517036	-360.922058	959.405273	29.992329	-294.103851	860.275146	265.813751	-443.965759	1191.961304	267.601135	-469.228394	1167.456665	243.134109	-391.491913	1204.708862	248.662048	-482.450226	1121.176025	225.772324	-403.011627	1158.451416
16	0.03	2.55375	-391.210999	999.566345	58.544361	-384.81073	1003.789612	-21.117878	-366.907318	955.339294	32.520496	-360.921539	959.405945	29.994724	-294.103485	860.274963	265.766693	-444.102234	1191.966675	267.543823	-469.359283	1167.460571	243.102768	-391.647156	1204.707153	248.603928	-482.530853	1121.156982	225.749634	-403.100525	1158.485718
17	0.04	2.55721	-391.210754	999.568054	58.547928	-384.812775	1003.789185	-21.11371	-366.906586	955.339966	32.523972	-360.92099	959.406677	29.997122	-294.103119	860.274719	265.720276	-444.235077	1191.972656	267.487335	-469.486816	1167.465454	243.071655	-391.797943	1204.706177	248.546585	-482.609314	1121.139282	225.727463	-403.187164	1158.519531
18	0.05	2.560692	-391.21048	999.569763	58.551514	-384.814789	1003.788696	-21.109535	-366.905823	955.340637	32.527458	-360.92041	959.407349	29.999521	-294.102753	860.274475	265.674438	-444.364288	1191.979492	267.431641	-469.611023	1167.471191	243.040756	-391.944305	1204.706055	248.490036	-482.685608	1121.122803	225.705826	-403.271515	1158.552734
19	0.06	2.564193	-391.210144	999.571472	58.555119	-384.816772	1003.788269	-21.105354	-366.90506	955.341309	32.53096	-360.91983	959.40802	30.001925	-294.102386	860.274231	265.629211	-444.489899	1191.987061	267.37674	-469.731903	1167.477661	243.010071	-392.086212	1204.706665	248.434296	-482.759705	1121.107666	225.684738	-403.353577	1158.585327
20	0.07	2.567714	-391.209808	999.573181	58.558743	-384.818695	1003.787781	-21.101166	-366.904297	955.34198	32.534473	-360.91922	959.40863	30.00433	-294.10199	860.273987	265.584564	-444.611877	1191.995239	267.322662	-469.849457	1167.485107	242.979614	-392.223724	1204.70813	248.379333	-482.831665	1121.09375	225.664169	-403.43335	1158.61731
21	0.08	2.571255	-391.209442	999.574829	58.562386	-384.820557	1003.787292	-21.09697	-366.903503	955.342651	32.538002	-360.91861	959.409302	30.006737	-294.101593	860.273743	265.540558	-444.730255	1192.004272	267.269348	-469.963654	1167.493408	242.949356	-392.356781	1204.710327	248.32518	-482.901428	1121.081177	225.64415	-403.510864	1158.648804
22	0.09	2.574816	-391.209045	999.576477	58.566051	-384.822388	1003.786804	-21.092768	-366.90271	955.343262	32.541542	-360.917969	959.409912	30.009148	-294.101166	860.273438	265.497131	-444.844971	1192.014038	267.216858	-470.074524	1167.502563	242.919327	-392.485382	1204.713379	248.271835	-482.969025	1121.069946	225.624649	-403.58609	1158.679688
23	0.1	2.578398	-391.208649	999.578125	58.569733	-384.824158	1003.786316	-21.088558	-366.901917	955.343933	32.545097	-360.917328	959.410522	30.01156	-294.100769	860.273132	265.454285	-444.956085	1192.024536	267.165192	-470.182068	1167.512573	242.889496	-392.609558	1204.717163	248.219299	-483.034424	1121.059937	225.605682	-403.659058	1158.709961
24	0.11	2.581999	-391.208191	999.579773	58.573437	-384.825897	1003.785767	-21.084341	-366.901093	955.344543	32.548668	-360.916656	959.411072	30.013975	-294.100342	860.272827	265.412079	-445.063538	1192.035645	267.114288	-470.286224	1167.523438	242.859879	-392.729279	1204.721802	248.167572	-483.097656	1121.051147	225.58725	-403.729736	1158.739746
25	0.12	2.58562	-391.207733	999.581421	58.577156	-384.827576	1003.785278	-21.080116	-366.900269	955.345215	32.55225	-360.915955	959.411682	30.016392	-294.099884	860.272522	265.370453	-445.167389	1192.047607	267.064209	-470.387054	1167.535156	242.83046	-392.844543	1204.727173	248.116669	-483.158691	1121.043701	225.569336	-403.798157	1158.768799
26	0.13	2.589262	-391.207214	999.583008	58.580898	-384.829224	1003.784729	-21.075886	-366.899414	955.345825	32.555847	-360.915253	959.412231	30.018812	-294.099457	860.272156	265.329437	-445.267578	1192.060303	267.014954	-470.484528	1167.547729	242.801254	-392.955353	1204.733398	248.066589	-483.21756	1121.037598	225.551941	-403.864319	1158.797363
27	0.14	2.592923	-391.206696	999.584595	58.58466	-384.830811	1003.78418	-21.071648	-366.89856	955.346436	32.559456	-360.91452	959.412781	30.021235	-294.098999	860.27179	265.289032	-445.364136	1192.073608	266.966492	-470.578644	1167.561157	242.772247	-393.061707	1204.740234	248.017365	-483.2742	1121.032593	225.535065	-403.928192	1158.825195
28	0.15	2.596605	-391.206146	999.586182	58.588436	-384.832367	1003.78363	-21.067402	-366.897675	955.347046	32.56308	-360.913757	959.413269	30.023659	-294.098541	860.271423	265.249268	-445.457062	1192.087646	266.918884	-470.669403	1167.575317	242.743454	-393.163574	1204.747925	247.968994	-483.328674	1121.028931	225.518707	-403.989838	1158.852539
29	0.16	2.600307	-391.205566	999.587769	58.592236	-384.833862	1003.783081	-21.063148	-366.89682	955.347656	32.566719	-360.912994	959.413818	30.026087	-294.098053	860.271057	265.210114	-445.546326	1192.102417	266.872101	-470.756775	1167.590332	242.71489	-393.260986	1204.75647	247.921509	-483.38092	1121.026489	225.502853	-404.049225	1158.87915
30	0.17	2.604028	-391.204956	999.589355	58.596054	-384.835297	1003.782532	-21.058889	-366.895935	955.348267	32.57037	-360.912201	959.414307	30.028517	-294.097595	860.270691	265.171631	-445.631958	1192.117798	266.826202	-470.84079	1167.606079	242.686554	-393.353943	1204.765625	247.874939	-483.431	1121.025146	225.487518	-404.106384	1158.905151
31	0.18	2.60777	-391.204315	999.590881	58.599892	-384.8367	1003.781921	-21.054623	-366.89502	955.348877	32.574032	-360.911407	959.414795	30.030949	-294.097076	860.270264	265.133789	-445.713959	1192.133667	266.781158	-470.921448	1167.622559	242.658463	-393.442413	1204.775513	247.829285	-483.478851	1121.025024	225.472687	-404.161346	1158.930542
32	0.19	2.611532	-391.203674	999.592407	58.603748	-384.838074	1003.781372	-21.05035	-366.894104	955.349426	32.577713	-360.910583	959.415283	30.033382	-294.096588	860.269836	265.096619	-445.792328	1192.150269	266.737	-470.998718	1167.639648	242.63063	-393.526459	1204.786011	247.784607	-483.524506	1121.026123	225.458359	-404.214111	1158.9552
33	0.2	2.615314	-391.202972	999.593933	58.607628	-384.839355	1003.780762	-21.046068	-366.893188	955.350037	32.581402	-360.90976	959.41571	30.03582	-294.0961	860.269409	265.06015	-445.867096	1192.167358	266.693787	-471.072632	1167.657471	242.603088	-393.606049	1204.797241	247.740921	-483.567963	1121.028198	225.444519	-404.264679	1158.979126
34	0.21	2.619116	-391.202271	999.595459	58.611523	-384.840637	1003.780151	-21.04178	-366.892242	955.350586	32.58511	-360.908905	959.416138	30.03826	-294.095581	860.268982	265.024445	-445.938232	1192.184937	266.65152	-471.143188	1167.675903	242.575851	-393.681244	1204.809082	247.698257	-483.609222	1121.03125	225.431183	-404.31311	1159.002319
35	0.22	2.622938	-391.201538	999.596924	58.615437	-384.841858	1003.779541	-21.037485	-366.891296	955.351196	32.588829	-360.90802	959.416565	30.040703	-294.095062	860.268494	264.989471	-446.005829	1192.202881	266.610229	-471.210419	1167.694824	242.548965	-393.752045	1204.821411	247.656677	-483.648315	1121.035278	225.418335	-404.359436	1159.024658
